date,epiweek,geocode,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
2017-01-01,201701,5200050,21.3729,26.3097,31.7859,0.0,0.037,0.1777,0.2957,0.9961,0.999,1.0014,47.5675,69.168,90.4454,10.4129,4
2017-01-01,201701,5200100,19.9463,24.9318,30.0774,0.0,0.0725,0.3749,0.5798,0.9967,0.9997,1.0018,44.698,63.9761,82.7981,10.1311,3
2017-01-01,201701,5200134,22.287,27.1845,32.4025,0.0,0.1115,0.4851,0.8917,0.9954,0.9987,1.001,51.4458,72.3441,94.3548,10.1155,5
2017-01-01,201701,5200159,21.7537,26.3936,31.8092,0.0,0.1655,0.744,1.324,0.9958,0.9989,1.0012,47.8971,69.8053,90.0573,10.0555,5
2017-01-01,201701,5200175,21.4423,26.2684,31.4736,0.0,0.0097,0.03,0.0773,0.9961,0.999,1.0013,41.2543,58.4762,75.7094,10.0313,1
2017-01-01,201701,5200209,23.1403,26.956,31.5542,0.0,0.1242,0.6566,0.9937,0.9962,0.999,1.0014,50.1118,69.6956,86.9246,8.4139,5
2017-01-01,201701,5200258,19.833,24.9382,30.0625,0.0,0.0526,0.3139,0.4205,0.9966,0.9996,1.0017,45.136,63.6439,81.5633,10.2295,3
2017-01-01,201701,5200308,19.9462,24.9318,30.0774,0.0,0.0725,0.3749,0.5797,0.9967,0.9997,1.0018,44.6981,63.9762,82.7983,10.1312,3
2017-01-01,201701,5200506,21.515,26.3607,31.6907,0.0,0.0893,0.4446,0.7147,0.9962,0.9991,1.0014,48.399,70.545,91.6447,10.1757,5
2017-01-01,201701,5200555,23.454,27.956,33.183,0.0,0.0573,0.1788,0.458,0.9948,0.9978,1.0001,45.3101,65.0069,83.9679,9.7289,3
2017-01-01,201701,5200605,22.4975,27.0986,32.5135,0.0,0.0454,0.2349,0.3628,0.996,0.9987,1.0011,38.1273,56.363,73.0583,10.016,2
2017-01-01,201701,5200803,21.8294,27.3734,33.2985,0.0,0.0452,0.2971,0.3615,0.9957,0.9983,1.0007,39.475,58.5141,76.5132,11.4691,3
2017-01-01,201701,5200829,23.353,27.8701,33.0305,0.0,0.0838,0.259,0.6705,0.9948,0.9977,1.0,47.0994,66.5981,84.4672,9.6775,3
2017-01-01,201701,5200852,21.7537,26.3936,31.8092,0.0,0.1655,0.744,1.324,0.9958,0.9989,1.0012,47.8971,69.8053,90.0572,10.0555,5
2017-01-01,201701,5200902,22.1558,26.7198,32.3415,0.0001,0.1368,0.8476,1.0941,0.9955,0.9987,1.001,49.4821,71.2439,90.3779,10.1856,7
2017-01-01,201701,5201108,20.0279,25.1627,30.2407,0.0009,0.0956,0.2862,0.7647,0.9964,0.9995,1.0018,46.4613,67.0633,87.8149,10.2129,4
2017-01-01,201701,5201207,22.2542,26.8348,31.6256,0.0,0.0533,0.2219,0.4261,0.9962,0.9991,1.0014,47.4418,67.6368,87.9985,9.3714,5
2017-01-01,201701,5201306,21.3175,26.1441,31.4066,0.0001,0.1305,0.5224,1.0438,0.996,0.999,1.0014,46.8614,68.5787,89.5539,10.0892,4
2017-01-01,201701,5201405,21.1606,26.0775,31.3417,0.0,0.0925,0.6123,0.7398,0.9963,0.9992,1.0015,46.3135,67.7552,88.5598,10.1811,6
2017-01-01,201701,5201454,21.2371,25.7439,31.0593,0.0,0.1347,0.6126,1.0775,0.9961,0.9991,1.0011,55.9104,77.959,95.4067,9.8222,7
2017-01-01,201701,5201504,21.4054,25.6604,31.0453,0.0,0.2257,1.2483,1.8056,0.9963,0.9992,1.0011,55.1217,77.5461,94.7556,9.6399,6
2017-01-01,201701,5201603,21.3175,26.144,31.4066,0.0001,0.1305,0.5224,1.0438,0.996,0.999,1.0014,46.8614,68.5787,89.5539,10.0892,4
2017-01-01,201701,5201702,23.2849,28.239,33.8437,0.0,0.0286,0.1516,0.2291,0.9946,0.9978,1.0001,49.983,71.1973,91.4582,10.5588,5
2017-01-01,201701,5201801,21.1606,26.0775,31.3417,0.0,0.0925,0.6123,0.7398,0.9963,0.9992,1.0015,46.3134,67.7552,88.5599,10.1811,6
2017-01-01,201701,5202155,23.9116,28.6322,34.2138,0.0,0.1107,0.4914,0.8853,0.9942,0.9973,0.9999,48.6313,70.126,88.1935,10.3022,4
2017-01-01,201701,5202353,22.0498,26.555,32.1535,0.0,0.1466,0.9389,1.1723,0.9956,0.9987,1.001,50.5675,71.8897,89.8024,10.1037,7
2017-01-01,201701,5202502,23.9116,28.6322,34.2138,0.0,0.1107,0.4914,0.8853,0.9942,0.9973,0.9999,48.6313,70.126,88.1934,10.3022,4
2017-01-01,201701,5202601,22.0241,26.6307,32.2147,0.0,0.1645,0.9972,1.3157,0.9956,0.9988,1.0012,48.8616,70.8324,92.0378,10.1907,5
2017-01-01,201701,5202809,21.2305,26.2827,31.6504,0.0004,0.0513,0.2189,0.4102,0.996,0.999,1.0014,46.4511,68.081,89.5291,10.4199,4
2017-01-01,201701,5203104,21.8875,26.7023,32.5333,0.0,0.1227,0.863,0.9818,0.9954,0.9985,1.0006,52.5553,73.7793,92.151,10.6458,6
2017-01-01,201701,5203203,22.241,27.4878,33.126,0.0,0.0467,0.129,0.3735,0.9951,0.9981,1.0006,42.4822,63.1204,83.3736,10.885,3
2017-01-01,201701,5203302,20.216,25.5514,30.651,0.0,0.0765,0.3431,0.6122,0.9965,0.9994,1.0016,46.4766,66.8875,89.1251,10.435,4
2017-01-01,201701,5203401,22.577,27.7064,33.3469,0.0,0.0298,0.1705,0.2381,0.9949,0.998,1.0003,50.2638,71.3327,91.8746,10.7699,6
2017-01-01,201701,5203500,21.8668,26.4692,31.6136,0.0,0.1567,0.9039,1.2537,0.9959,0.999,1.0013,52.9251,74.4391,94.44,9.7468,5
2017-01-01,201701,5203559,20.3516,25.5711,30.7301,0.0,0.0902,0.4417,0.7219,0.9963,0.9994,1.0017,45.6018,66.6277,88.4765,10.3784,4
2017-01-01,201701,5203575,23.7754,28.5267,33.8974,0.0,0.1883,0.9532,1.5064,0.9946,0.9972,0.9996,47.6331,67.6963,86.3067,10.1221,6
2017-01-01,201701,5203609,20.5663,25.6304,30.7587,0.003,0.0689,0.3365,0.551,0.9961,0.9992,1.0016,46.3569,67.7277,88.2444,10.1924,3
2017-01-01,201701,5203807,24.0874,28.6954,34.2045,0.0,0.1338,0.5592,1.0706,0.9941,0.9973,0.9999,50.5681,71.4611,89.3354,10.1171,4
2017-01-01,201701,5203906,23.5716,27.2555,31.547,0.0,0.0749,0.449,0.5991,0.9961,0.999,1.0013,50.932,70.1732,87.8185,7.9755,4
2017-01-01,201701,5203939,22.4467,27.174,32.8861,0.0,0.1834,0.6483,1.4673,0.9953,0.9983,1.0008,46.0321,69.1737,89.3852,10.4394,4
2017-01-01,201701,5203962,21.8294,27.3734,33.2985,0.0,0.0452,0.2971,0.3615,0.9957,0.9983,1.0007,39.475,58.5141,76.5132,11.4691,3
2017-01-01,201701,5204003,21.1606,26.2074,31.4426,0.0,0.0019,0.0098,0.0149,0.9963,0.9991,1.0013,42.0753,60.0754,76.5372,10.2821,1
2017-01-01,201701,5204102,21.9178,26.3156,31.5158,0.0,0.1557,0.7102,1.2454,0.9957,0.9989,1.0008,57.1641,78.396,96.3074,9.5981,6
2017-01-01,201701,5204201,22.0394,26.5807,32.1844,0.0,0.1559,0.9398,1.2468,0.9956,0.9988,1.0012,49.6176,71.53,92.0169,10.145,5
2017-01-01,201701,5204250,22.5916,27.0646,32.1971,0.0,0.1205,0.7089,0.964,0.9958,0.9989,1.0011,49.8056,71.5158,91.6701,9.6055,5
2017-01-01,201701,5204300,21.6376,25.9817,31.339,0.0,0.139,0.7997,1.1117,0.9959,0.999,1.0009,56.0386,78.1869,95.3967,9.7014,6
2017-01-01,201701,5204409,20.8223,25.1336,30.6716,0.0,0.1491,0.8643,1.1927,0.9966,0.9996,1.0017,52.6862,74.5744,91.3087,9.8494,7
2017-01-01,201701,5204508,21.4973,26.1391,30.9588,0.0,0.0775,0.5058,0.62,0.9964,0.9993,1.0015,49.7884,69.6692,88.27,9.4615,4
2017-01-01,201701,5204557,20.216,25.5514,30.651,0.0,0.0765,0.3431,0.6122,0.9965,0.9994,1.0016,46.4766,66.8875,89.1251,10.435,4
2017-01-01,201701,5204607,21.8711,26.712,32.2894,0.0,0.0583,0.3214,0.4663,0.9958,0.9989,1.0013,47.5749,69.5588,91.122,10.4183,4
2017-01-01,201701,5204656,23.9612,27.7671,31.8984,0.0,0.0961,0.3645,0.7685,0.9953,0.998,1.0003,50.2611,66.4718,81.0537,7.9372,3
2017-01-01,201701,5204706,23.3173,28.1136,33.625,0.0,0.0644,0.2043,0.5157,0.9947,0.9976,1.0,44.8643,64.0606,82.4245,10.3077,3
2017-01-01,201701,5204805,20.9551,25.7498,30.8073,0.0,0.0578,0.4202,0.4628,0.9967,0.9995,1.0017,46.5706,67.1093,85.9818,9.8523,4
2017-01-01,201701,5204854,20.0279,25.1627,30.2407,0.0009,0.0956,0.2862,0.7647,0.9964,0.9995,1.0018,46.4613,67.0633,87.8149,10.2129,4
2017-01-01,201701,5204904,23.2418,28.3972,33.7629,0.0,0.0549,0.3615,0.4389,0.9953,0.9977,1.0002,40.8248,58.7919,77.2123,10.5212,2
2017-01-01,201701,5204953,23.66,28.6014,34.1264,0.0,0.1832,0.7018,1.4657,0.9944,0.9972,0.9996,46.053,65.9922,85.1017,10.4664,5
2017-01-01,201701,5205000,21.9175,26.5646,31.8887,0.0,0.1827,0.87,1.4614,0.9954,0.9985,1.001,46.2594,66.9488,85.6471,9.9712,4
2017-01-01,201701,5205059,22.056,26.5502,31.4954,0.0,0.1115,0.5503,0.8922,0.9957,0.9989,1.0011,56.0655,76.7692,96.1209,9.4394,7
2017-01-01,201701,5205109,21.9168,26.3008,30.713,0.0,0.0612,0.422,0.4893,0.9965,0.9994,1.0016,49.3003,68.0873,86.0695,8.7961,5
2017-01-01,201701,5205208,20.5663,25.6304,30.7587,0.003,0.0689,0.3365,0.551,0.9961,0.9992,1.0016,46.3569,67.7277,88.2444,10.1924,3
2017-01-01,201701,5205307,20.9755,26.0613,31.4203,0.0,0.0715,0.3317,0.5724,0.9962,0.9989,1.0012,43.4786,61.1634,79.7588,10.4448,3
2017-01-01,201701,5205406,21.9132,26.7498,32.3034,0.0,0.1731,0.6173,1.3851,0.9952,0.9984,1.001,44.2923,65.2756,85.0987,10.3902,3
2017-01-01,201701,5205455,21.6563,26.4074,31.7534,0.002,0.0567,0.2172,0.4534,0.9961,0.999,1.0014,49.0819,70.0412,89.9665,10.0971,6
2017-01-01,201701,5205471,20.9291,25.0603,30.4624,0.0,0.2503,1.5067,2.0023,0.9967,0.9995,1.0014,55.5378,77.1865,93.073,9.5333,5
2017-01-01,201701,5205497,20.0092,25.0499,30.1687,0.0,0.0283,0.1535,0.2264,0.9966,0.9996,1.0018,45.0111,63.4035,81.8587,10.1595,1
2017-01-01,201701,5205513,20.1926,25.2747,30.465,0.0,0.1202,0.4851,0.9614,0.9963,0.9994,1.0016,44.4701,64.134,83.2909,10.2724,3
2017-01-01,201701,5205521,21.5052,26.4749,31.7056,0.0001,0.1062,0.6662,0.8499,0.9959,0.9987,1.001,43.3988,60.2137,77.2224,10.2005,3
2017-01-01,201701,5205703,22.3724,27.0749,32.9298,0.0,0.1576,0.6987,1.2612,0.9953,0.9984,1.0009,47.4508,70.6356,90.6741,10.5575,5
2017-01-01,201701,5205802,19.9462,24.9318,30.0774,0.0,0.0725,0.3749,0.5797,0.9967,0.9997,1.0018,44.6981,63.9762,82.7983,10.1312,3
2017-01-01,201701,5205901,22.2542,26.8348,31.6256,0.0,0.0533,0.2219,0.4261,0.9962,0.9991,1.0014,47.4418,67.6368,87.9985,9.3714,5
2017-01-01,201701,5206206,20.8225,25.4326,30.5539,0.0,0.0315,0.157,0.2523,0.9965,0.9995,1.0016,44.859,64.6281,81.2973,9.7314,1
2017-01-01,201701,5206305,20.3992,25.6049,30.6648,0.0,0.0771,0.5225,0.6166,0.9964,0.9994,1.0017,47.2219,67.3021,88.287,10.2655,4
2017-01-01,201701,5206404,22.9632,28.1516,33.9132,0.0,0.2081,1.3237,1.6646,0.9945,0.9975,1.0,46.2963,67.707,87.7844,10.9501,3
2017-01-01,201701,5206503,21.9469,26.7434,32.09,0.0006,0.0713,0.2812,0.5704,0.9959,0.9989,1.0013,48.8096,69.8492,90.4804,10.1432,5
