date,year,epiweek,casos,geocode,regional,regional_geocode,macroregional,macroregional_geocode,uf,train_1,train_2,target_1,target_2
2010-01-03,2010,201001,26,5221601,Serra da Mesa,52014,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5222302,São Patrício II,52018,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5205802,Pirineus,52011,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,111,5201108,Pirineus,52011,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5205208,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,5217401,Estrada de Ferro,52005,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5204805,Estrada de Ferro,52005,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,3,5213087,Norte,52008,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,76,5218003,Norte,52008,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5221007,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5201603,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,10,5201801,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,9,5204409,Sudoeste II,52016,Sudoeste,5206,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,73,5204904,Nordeste I,52006,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5206206,Entorno Sul,52004,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,3,5205471,Sudoeste II,52016,Sudoeste,5206,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5208152,Pirineus,52011,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,3223,5208707,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5212303,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5212956,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5214705,São Patrício I,52013,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5215306,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5216908,São Patrício I,52013,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5218789,Estrada de Ferro,52005,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5219506,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5221080,Nordeste I,52006,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,405,5201405,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,8,5202502,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5221809,Estrada de Ferro,52005,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5203104,Oeste I,52009,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5207907,Entorno Norte,52003,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5203906,Sul,52017,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,29,5204300,Sudoeste I,52015,Sudoeste,5206,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5200175,Entorno Norte,52003,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5214903,Nordeste II,52007,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,5207808,Oeste II,52010,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5211602,Oeste I,52009,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,5,5219605,Norte,52008,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,18,5211206,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5214101,Norte,52008,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,7,5219308,Sudoeste I,52015,Sudoeste,5206,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,18,5220207,Norte,52008,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5209291,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,20,5213509,Nordeste I,52006,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,85,5205406,São Patrício I,52013,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,4,5219100,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5220264,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5207600,Oeste I,52009,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5207352,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5213053,São Patrício II,52018,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5219209,Estrada de Ferro,52005,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5200902,Oeste I,52009,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,20,5201702,Oeste I,52009,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5215231,Entorno Sul,52004,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5205703,Oeste II,52010,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,19,5208608,São Patrício II,52018,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5212055,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,19,5218300,Nordeste II,52007,Nordeste,5207,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,5216809,Central,52001,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,22,5221700,São Patrício I,52013,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5207535,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5209952,Centro Sul,52002,Centro Sudeste,5210,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,5211008,Rio Vermelho,52012,Centro-Oeste,5208,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,5200555,Serra da Mesa,52014,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,10,5214606,Serra da Mesa,52014,Centro-Norte,5209,GO,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,25,5219407,Sudoeste II,52016,Sudoeste,5206,GO,TRUE,TRUE,FALSE,FALSE
