"stage","variable","n","mean","sd","min","p25","median","p75","max"
"before_population_offset","casos",99064,10.6363966728579,79.2533129975724,0,0,0,2,3133
"before_population_offset","indexP",99064,1.23482369783419,0.423335015556753,0.495911712941356,0.869691720431675,1.15323301877305,1.57301593141614,2.81852886430033
"before_population_offset","precip_tot",99064,1.14222378159574,1.55424625149667,0,0.001,0.41445,1.8561,16.0001
"before_population_offset","rel_humid_med",99064,65.8309830261245,14.7835052667806,22.8384,55.449,68.2631,78.504675,97.1473
"before_population_offset","temp_max",99064,29.9090337297101,2.55128087216948,20.7413,28.1742,29.6706,31.3781,40.879
"before_population_offset","temp_med",99064,24.3924177925382,2.16292824177028,14.778,23.0458,24.37205,25.71445,33.0303
"before_population_offset","temp_min",99064,19.6848990824114,2.51443064434556,8.6013,18.2609,20.23545,21.4452,26.3608
"after_population_offset","casos",99064,10.6363966728579,79.2533129975724,0,0,0,2,3133
"after_population_offset","indexP",99064,1.23482369783419,0.423335015556753,0.495911712941356,0.869691720431675,1.15323301877305,1.57301593141614,2.81852886430033
"after_population_offset","precip_tot",99064,1.14222378159574,1.55424625149667,0,0.001,0.41445,1.8561,16.0001
"after_population_offset","rel_humid_med",99064,65.8309830261245,14.7835052667806,22.8384,55.449,68.2631,78.504675,97.1473
"after_population_offset","temp_max",99064,29.9090337297101,2.55128087216948,20.7413,28.1742,29.6706,31.3781,40.879
"after_population_offset","temp_med",99064,24.3924177925382,2.16292824177028,14.778,23.0458,24.37205,25.71445,33.0303
"after_population_offset","temp_min",99064,19.6848990824114,2.51443064434556,8.6013,18.2609,20.23545,21.4452,26.3608
"after_population_offset","Pop_i",99064,28823.1300371477,108344.781295958,921,3606,7607,18715,1555626
"after_population_offset","offset",99064,-2.38805860518874,1.22161969642446,-4.68746542871492,-3.32257106120697,-2.57610130997293,-1.6758448446317,2.744463129962
