"exposure","n_crossing_rows_detected","n_rows_fully_defined_without_group","n_rows_fully_defined_with_group","lag_crossing_blocked_by_group"
"indexP",2916,2916,0,1
"precip_tot",2916,2916,0,1
"rel_humid_med",2916,2916,0,1
"temp_max",2916,2916,0,1
"temp_max",2916,2916,0,1
"precip_tot",2916,2916,0,1
"rel_humid_med",2916,2916,0,1
"temp_med",2916,2916,0,1
"temp_med",2916,2916,0,1
"precip_tot",2916,2916,0,1
"rel_humid_med",2916,2916,0,1
"temp_min",2916,2916,0,1
"temp_min",2916,2916,0,1
"precip_tot",2916,2916,0,1
"rel_humid_med",2916,2916,0,1
