"lag","crossing_rows","exposure"
1,183,"temp_min"
2,366,"temp_min"
3,549,"temp_min"
4,732,"temp_min"
5,915,"temp_min"
6,1098,"temp_min"
7,1281,"temp_min"
8,1464,"temp_min"
9,1647,"temp_min"
10,1830,"temp_min"
11,2013,"temp_min"
12,2196,"temp_min"
1,183,"precip_tot"
2,366,"precip_tot"
3,549,"precip_tot"
4,732,"precip_tot"
5,915,"precip_tot"
6,1098,"precip_tot"
7,1281,"precip_tot"
8,1464,"precip_tot"
9,1647,"precip_tot"
10,1830,"precip_tot"
11,2013,"precip_tot"
12,2196,"precip_tot"
1,183,"rel_humid_med"
2,366,"rel_humid_med"
3,549,"rel_humid_med"
4,732,"rel_humid_med"
5,915,"rel_humid_med"
6,1098,"rel_humid_med"
7,1281,"rel_humid_med"
8,1464,"rel_humid_med"
9,1647,"rel_humid_med"
10,1830,"rel_humid_med"
11,2013,"rel_humid_med"
12,2196,"rel_humid_med"
