"exposure","n_crossing_rows_detected","n_rows_fully_defined_without_group","n_rows_fully_defined_with_group","lag_crossing_blocked_by_group"
"indexP",2184,2184,0,1
"precip_tot",2196,2196,0,1
"rel_humid_med",2196,2196,0,1
"temp_max",2196,2196,0,1
"temp_max",2196,2196,0,1
"precip_tot",2196,2196,0,1
"rel_humid_med",2196,2196,0,1
"temp_med",2196,2196,0,1
"temp_med",2196,2196,0,1
"precip_tot",2196,2196,0,1
"rel_humid_med",2196,2196,0,1
"temp_min",2196,2196,0,1
"temp_min",2196,2196,0,1
"precip_tot",2196,2196,0,1
"rel_humid_med",2196,2196,0,1
