geocode,estado,codigo_municipio
2600054,PE,00054
2600104,PE,00104
2600203,PE,00203
2600302,PE,00302
2600401,PE,00401
2600500,PE,00500
2600609,PE,00609
2600708,PE,00708
2600807,PE,00807
2600906,PE,00906
2601003,PE,01003
2601052,PE,01052
2601102,PE,01102
2601201,PE,01201
2601300,PE,01300
2601409,PE,01409
2601508,PE,01508
2601607,PE,01607
2601706,PE,01706
2601805,PE,01805
2601904,PE,01904
2602001,PE,02001
2602100,PE,02100
2602209,PE,02209
2602308,PE,02308
2602407,PE,02407
2602506,PE,02506
2602605,PE,02605
2602704,PE,02704
2602803,PE,02803
2602902,PE,02902
2603009,PE,03009
2603108,PE,03108
2603207,PE,03207
2603306,PE,03306
2603405,PE,03405
2603454,PE,03454
2603504,PE,03504
2603603,PE,03603
2603702,PE,03702
2603801,PE,03801
2603900,PE,03900
2603926,PE,03926
2604007,PE,04007
2604106,PE,04106
2604155,PE,04155
2604205,PE,04205
2604304,PE,04304
2604403,PE,04403
2604502,PE,04502
2604601,PE,04601
2604700,PE,04700
2604809,PE,04809
2604908,PE,04908
2605004,PE,05004
2605103,PE,05103
2605152,PE,05152
2605202,PE,05202
2605301,PE,05301
2605400,PE,05400
2605459,PE,05459
2605509,PE,05509
2605608,PE,05608
2605707,PE,05707
2605806,PE,05806
2605905,PE,05905
2606002,PE,06002
2606101,PE,06101
2606200,PE,06200
2606309,PE,06309
2606408,PE,06408
2606507,PE,06507
2606606,PE,06606
2606705,PE,06705
2606804,PE,06804
2606903,PE,06903
2607000,PE,07000
2607109,PE,07109
2607208,PE,07208
2607307,PE,07307
2607406,PE,07406
2607505,PE,07505
2607604,PE,07604
2607653,PE,07653
2607703,PE,07703
2607752,PE,07752
2607802,PE,07802
2607901,PE,07901
2607950,PE,07950
2608008,PE,08008
2608057,PE,08057
2608107,PE,08107
2608206,PE,08206
2608255,PE,08255
2608305,PE,08305
2608404,PE,08404
2608453,PE,08453
2608503,PE,08503
2608602,PE,08602
2608701,PE,08701
2608750,PE,08750
2608800,PE,08800
2608909,PE,08909
2609006,PE,09006
2609105,PE,09105
2609154,PE,09154
2609204,PE,09204
2609303,PE,09303
2609402,PE,09402
2609501,PE,09501
2609600,PE,09600
2609709,PE,09709
2609808,PE,09808
2609907,PE,09907
2610004,PE,10004
2610103,PE,10103
2610202,PE,10202
2610301,PE,10301
2610400,PE,10400
2610509,PE,10509
2610608,PE,10608
2610707,PE,10707
2610806,PE,10806
2610905,PE,10905
2611002,PE,11002
2611101,PE,11101
2611200,PE,11200
2611309,PE,11309
2611408,PE,11408
2611507,PE,11507
2611533,PE,11533
2611606,PE,11606
2611705,PE,11705
2611804,PE,11804
2611903,PE,11903
2612000,PE,12000
2612109,PE,12109
2612208,PE,12208
2612307,PE,12307
2612406,PE,12406
2612455,PE,12455
2612471,PE,12471
2612505,PE,12505
2612554,PE,12554
2612604,PE,12604
2612703,PE,12703
2612802,PE,12802
2612901,PE,12901
2613008,PE,13008
2613107,PE,13107
2613206,PE,13206
2613305,PE,13305
2613404,PE,13404
2613503,PE,13503
2613602,PE,13602
2613701,PE,13701
2613800,PE,13800
2613909,PE,13909
2614006,PE,14006
2614105,PE,14105
2614204,PE,14204
2614303,PE,14303
2614402,PE,14402
2614501,PE,14501
2614600,PE,14600
2614709,PE,14709
2614808,PE,14808
2614857,PE,14857
2615003,PE,15003
2615102,PE,15102
2615201,PE,15201
2615300,PE,15300
2615409,PE,15409
2615508,PE,15508
2615607,PE,15607
2615706,PE,15706
2615805,PE,15805
2615904,PE,15904
2616001,PE,16001
2616100,PE,16100
2616183,PE,16183
2616209,PE,16209
2616308,PE,16308
2616407,PE,16407
2616506,PE,16506
