date,epiweek,geocode,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
2009-12-27,200952,2600054,24.2271,26.3067,28.4736,0.0402,0.1489,0.3743,1.191,0.9967,0.9984,0.9998,72.578,83.0788,92.2383,4.2465,2
2009-12-27,200952,2600104,21.1328,24.3372,29.2439,0.0058,1.3393,4.2217,10.7148,0.9964,0.9992,1.001,60.0782,80.5317,93.2848,8.1111,2
2009-12-27,200952,2600203,21.3779,23.7183,27.6312,0.0,0.5559,2.4583,4.4471,0.9973,0.999,1.001,67.8896,87.709,97.2164,6.2533,2
2009-12-27,200952,2600302,21.1136,24.164,29.0958,0.0068,0.1079,0.3746,0.8632,0.9974,0.9994,1.0008,60.5305,82.0904,96.0424,7.9822,2
2009-12-27,200952,2600401,23.5681,26.1774,29.3177,0.0131,0.1547,0.404,1.238,0.9966,0.9985,1.0,66.8412,81.6579,93.434,5.7497,2
2009-12-27,200952,2600500,22.7708,26.0975,31.6489,0.0003,0.3557,1.0353,2.8451,0.996,0.9987,1.0003,49.5906,74.3174,89.6602,8.8781,2
2009-12-27,200952,2600609,20.7181,24.0314,29.4736,0.0025,0.2629,0.9176,2.1036,0.9973,0.9996,1.001,53.701,78.1331,93.2509,8.7556,2
2009-12-27,200952,2600708,22.8732,25.8113,30.5092,0.0148,0.1594,0.6033,1.2756,0.9967,0.9987,1.0,61.9933,81.6311,95.0308,7.6361,2
2009-12-27,200952,2600807,21.3166,24.4017,28.736,0.0021,0.1135,0.3419,0.9074,0.9973,0.9993,1.0007,63.1184,82.5714,95.9612,7.4194,2
2009-12-27,200952,2600906,22.2799,25.1989,28.7057,0.0117,0.1354,0.4268,1.0829,0.997,0.999,1.0003,69.2143,83.8573,96.077,6.4258,2
2009-12-27,200952,2601003,21.6614,24.8527,29.0438,0.0009,0.0894,0.3114,0.7149,0.997,0.9992,1.0006,62.5004,81.5807,94.8872,7.3825,2
2009-12-27,200952,2601052,23.4916,26.2006,29.7154,0.0203,0.1428,0.3298,1.142,0.9967,0.9985,0.9999,67.1675,82.036,93.578,6.2238,2
2009-12-27,200952,2601102,21.0453,22.9822,26.8166,0.0113,0.8463,4.271,6.7706,0.9972,0.9991,1.0008,69.5191,88.1285,98.2138,5.7713,2
2009-12-27,200952,2601201,21.259,24.6729,29.8063,0.0008,0.6217,2.5897,4.9734,0.9969,0.9993,1.0008,53.0539,76.1572,91.3316,8.5473,2
2009-12-27,200952,2601300,21.5625,24.583,28.6447,0.006,0.0999,0.3499,0.799,0.9972,0.9993,1.0007,65.5455,83.0291,96.0093,7.0822,2
2009-12-27,200952,2601409,23.5682,26.1774,29.3177,0.0131,0.1547,0.404,1.238,0.9966,0.9985,1.0,66.8418,81.6581,93.4352,5.7495,2
2009-12-27,200952,2601508,22.6488,25.6477,29.3432,0.0015,0.1464,0.3438,1.1718,0.9967,0.9988,1.0002,66.1829,81.8382,94.9944,6.6944,2
2009-12-27,200952,2601607,22.9614,25.8378,29.9082,0.0088,2.0511,6.0339,16.4092,0.9961,0.9985,1.0009,60.8615,79.6471,88.7424,6.9468,2
2009-12-27,200952,2601706,20.5565,23.9307,29.287,0.0022,0.3526,1.0864,2.8207,0.9973,0.9996,1.001,54.8763,77.626,93.1329,8.7305,2
2009-12-27,200952,2601805,22.3502,25.3562,29.7797,0.0175,1.5574,6.0444,12.4589,0.9962,0.9988,1.0012,60.694,80.3402,91.9259,7.4295,2
2009-12-27,200952,2601904,21.5625,24.583,28.6447,0.006,0.0999,0.3499,0.799,0.9972,0.9993,1.0007,65.5455,83.0291,96.0093,7.0822,2
2009-12-27,200952,2602001,21.8502,23.852,26.3537,0.0,0.5334,2.8314,4.2674,0.9968,0.999,1.001,74.1044,84.9579,93.2105,4.5034,2
2009-12-27,200952,2602100,21.5896,24.8084,30.2928,0.0006,0.1067,0.4085,0.8531,0.9969,0.9992,1.0006,52.1308,77.8799,92.3943,8.7032,2
2009-12-27,200952,2602209,22.3464,25.4515,30.5689,0.0071,0.179,1.0982,1.4315,0.9967,0.9989,1.0002,57.7553,79.7404,93.7041,8.2225,2
2009-12-27,200952,2602308,21.5625,24.583,28.6447,0.006,0.0999,0.3499,0.799,0.9972,0.9993,1.0007,65.5455,83.0291,96.0093,7.0822,2
2009-12-27,200952,2602407,21.5896,24.8084,30.2928,0.0006,0.1067,0.4085,0.8531,0.9969,0.9992,1.0006,52.1308,77.8799,92.3943,8.7032,2
2009-12-27,200952,2602506,21.7065,24.7641,30.2453,0.0066,0.5356,1.348,4.2846,0.9961,0.999,1.0008,55.138,78.8765,90.9773,8.5388,2
2009-12-27,200952,2602605,20.9566,24.1515,29.7908,0.0047,0.1124,0.4298,0.8994,0.9973,0.9995,1.0008,54.9942,79.8783,94.9095,8.8342,2
2009-12-27,200952,2602704,23.4916,26.2006,29.7154,0.0203,0.1428,0.3298,1.142,0.9967,0.9985,0.9999,67.1675,82.036,93.578,6.2238,2
2009-12-27,200952,2602803,21.7698,25.004,29.7645,0.0143,1.7314,6.3658,13.8507,0.9963,0.999,1.0009,57.443,78.0473,92.4954,7.9947,2
2009-12-27,200952,2602902,23.3531,25.6334,28.119,0.0411,0.1483,0.2799,1.1865,0.9968,0.9987,1.0,72.6072,84.3252,93.8897,4.7659,2
2009-12-27,200952,2603009,22.5525,25.2094,29.1722,0.0022,2.2149,6.9071,17.7194,0.9963,0.9986,1.0011,63.0301,81.9586,91.2897,6.6198,2
2009-12-27,200952,2603108,20.9566,24.1515,29.7908,0.0047,0.1124,0.4298,0.8994,0.9973,0.9995,1.0008,54.9942,79.8783,94.9095,8.8342,2
2009-12-27,200952,2603207,21.8367,25.1253,30.6213,0.0006,0.3643,1.3131,2.9141,0.9967,0.9991,1.0006,51.1301,75.3982,90.1686,8.7846,2
2009-12-27,200952,2603306,20.9832,24.1042,28.6108,0.0031,0.1015,0.2889,0.8123,0.9973,0.9994,1.0009,61.2357,82.7985,96.0577,7.6276,2
2009-12-27,200952,2603405,21.5788,24.3992,28.7,0.0164,1.552,6.0115,12.4157,0.9965,0.9992,1.0013,63.0656,81.2604,93.5303,7.1212,2
2009-12-27,200952,2603454,23.1999,25.8168,28.8349,0.0281,0.1481,0.3099,1.1854,0.9967,0.9987,1.0,70.0,83.065,94.0381,5.6349,2
2009-12-27,200952,2603504,21.1136,24.164,29.0958,0.0068,0.1079,0.3746,0.8631,0.9974,0.9994,1.0008,60.5302,82.0908,96.0435,7.9822,2
2009-12-27,200952,2603603,23.5509,26.1618,29.9972,0.0266,0.1336,0.3087,1.0689,0.9967,0.9985,0.9999,67.1057,82.8171,94.1403,6.4463,2
2009-12-27,200952,2603702,20.9832,24.1042,28.6108,0.0031,0.1015,0.2889,0.8123,0.9973,0.9994,1.0009,61.2357,82.7985,96.0577,7.6276,2
