"date","epiweek","geocode","temp_min","temp_med","temp_max","precip_min","precip_med","precip_max","precip_tot","pressure_min","pressure_med","pressure_max","rel_humid_min","rel_humid_med","rel_humid_max","thermal_range","rainy_days"
2017-01-01,201701,3300100,25.3249,26.6727,28.5261,1e-04,0.4035,1.8929,3.2283,0.9979,0.999,1.0001,75.466,84.1719,91.4118,3.2012,7
2017-01-01,201701,3300159,22.1204,26.9813,32.5611,0,0.1273,0.8275,1.018,0.9979,0.9996,1.001,55.291,76.2508,92.8134,10.4406,4
2017-01-01,201701,3300209,25.3638,27.3848,29.6685,0,0.0647,0.3515,0.5174,0.9972,0.9983,0.9994,74.6779,82.7917,90.5058,4.3047,6
2017-01-01,201701,3300225,20.9793,25.0382,29.9287,1e-04,0.3105,1.7993,2.4843,0.999,1.0003,1.0015,62.2582,79.2492,92.1547,8.9494,6
2017-01-01,201701,3300233,25.1454,26.5953,28.2339,0,0.0114,0.0793,0.091,0.9973,0.9984,0.9995,76.5465,83.8801,90.3646,3.0885,5
2017-01-01,201701,3300258,24.8262,25.2611,25.7804,0,1e-04,8e-04,0.0011,0.9976,0.9987,0.9998,84.0324,88.5525,91.8059,0.9543,0
2017-01-01,201701,3300308,23.715,27.4585,32.4661,0.0022,0.2417,1.516,1.9333,0.9975,0.999,1.0001,57.6243,75.1602,88.1149,8.7511,7
2017-01-01,201701,3300407,20.8321,24.966,30.0594,6e-04,0.3687,1.92,2.9497,0.9986,1.0001,1.0013,58.4947,77.6895,91.8092,9.2273,6
2017-01-01,201701,3300456,25.6137,28.4883,32.287,0.0023,0.2461,1.5069,1.9686,0.997,0.9984,0.9995,61.9165,75.2682,85.575,6.6732,7
2017-01-01,201701,3300506,20.7638,25.1127,29.9258,0,0.1763,0.8919,1.4107,0.999,1.0004,1.0017,61.714,78.3461,92.4662,9.162,6
2017-01-01,201701,3300605,22.0201,27.2249,33.1568,0,0.0594,0.3177,0.475,0.9979,0.9996,1.0012,49.3009,72.1413,90.0608,11.1366,5
2017-01-01,201701,3300704,24.8262,25.2611,25.7804,0,1e-04,8e-04,0.0011,0.9976,0.9987,0.9998,84.0324,88.5525,91.8059,0.9543,0
2017-01-01,201701,3300803,20.8995,24.9621,29.6632,0,0.3421,1.8594,2.737,0.9992,1.0004,1.0015,64.1108,79.928,92.1556,8.7636,7
2017-01-01,201701,3300902,23.1447,28.0038,33.6696,0,0.0836,0.5911,0.669,0.9973,0.9992,1.0008,51.958,72.5257,89.8577,10.5249,4
2017-01-01,201701,3300936,24.1383,27.9606,32.6902,0,0.0371,0.2376,0.2969,0.9974,0.9989,1.0002,56.4088,74.7014,88.9589,8.5519,5
2017-01-01,201701,3300951,21.4375,25.8149,31.4468,0,0.1668,1.1379,1.3347,0.9981,1,1.0014,55.4785,74.5963,89.8909,10.0093,6
2017-01-01,201701,3301009,24.0713,28.4974,34.3343,0,0.0392,0.2754,0.3138,0.9976,0.999,1.0003,49.7092,70.9018,86.8437,10.2631,4
2017-01-01,201701,3301108,21.3656,25.8745,30.7485,0,0.1942,1.0849,1.5536,0.9985,1,1.0012,61.4564,78.7822,93.3115,9.3829,6
2017-01-01,201701,3301157,23.8348,28.5674,34.7446,0,0.0337,0.226,0.2694,0.9975,0.999,1.0004,47.2896,69.942,86.6635,10.9098,4
2017-01-01,201701,3301207,20.7638,25.1127,29.9258,0,0.1763,0.8919,1.4107,0.999,1.0004,1.0017,61.714,78.3461,92.4662,9.162,6
2017-01-01,201701,3301306,22.5436,26.6521,31.4512,0,0.2126,1.237,1.701,0.9983,0.9995,1.0006,61.4426,77.862,91.2219,8.9077,7
2017-01-01,201701,3301405,22.798,27.169,32.1316,0,0.1231,0.7242,0.9848,0.9978,0.9993,1.0006,58.8987,77.2527,91.9599,9.3335,5
2017-01-01,201701,3301504,20.7638,25.1127,29.9258,0,0.1763,0.8919,1.4107,0.999,1.0004,1.0017,61.714,78.3461,92.4662,9.162,6
2017-01-01,201701,3301603,20.3562,24.6723,29.4887,0,0.1739,0.8363,1.3917,0.9991,1.0006,1.002,61.3127,77.6571,91.6542,9.1325,6
2017-01-01,201701,3301702,25.7775,28.996,33.186,0,0.2035,0.9369,1.6277,0.9969,0.9982,0.9993,58.6481,73.2474,85.3687,7.4085,7
2017-01-01,201701,3301801,23.0574,26.6885,31.5798,0.0019,0.3251,1.8245,2.6008,0.9978,0.9993,1.0004,60.0768,77.651,90.2289,8.5224,6
2017-01-01,201701,3301850,23.7684,27.6073,32.6946,0,0.211,1.1593,1.6878,0.9976,0.9989,1.0001,58.8388,76.5956,90.1736,8.9262,6
2017-01-01,201701,3301876,25.3638,27.3848,29.6685,0,0.0647,0.3515,0.5174,0.9972,0.9983,0.9994,74.6779,82.7917,90.5057,4.3047,6
2017-01-01,201701,3301900,25.9022,28.7329,32.2541,1e-04,0.219,1.2332,1.7521,0.997,0.9982,0.9993,64.6491,77.4055,88.063,6.3519,6
2017-01-01,201701,3302007,24.9626,27.495,30.7921,0.004,0.3084,1.4626,2.467,0.9974,0.9988,0.9999,67.5591,79.5334,88.633,5.8295,6
2017-01-01,201701,3302056,22.9099,28.2233,34.4419,0,0.0289,0.1823,0.2311,0.9974,0.9991,1.0007,47.4742,71.0063,89.6937,11.532,5
2017-01-01,201701,3302106,22.1204,26.9813,32.5611,0,0.1273,0.8275,1.018,0.9979,0.9996,1.001,55.291,76.2508,92.8134,10.4406,4
2017-01-01,201701,3302205,22.4947,27.6037,33.3584,0,0.0404,0.1798,0.3234,0.9977,0.9995,1.0011,48.7673,70.1305,87.0893,10.8636,5
2017-01-01,201701,3302254,20.8321,24.966,30.0594,6e-04,0.3687,1.92,2.9497,0.9986,1.0001,1.0013,58.4948,77.6895,91.8092,9.2273,6
2017-01-01,201701,3302270,23.715,27.4585,32.4661,0.0022,0.2417,1.516,1.9333,0.9975,0.999,1.0001,57.6243,75.1602,88.1149,8.7511,7
2017-01-01,201701,3302304,22.6895,27.6916,33.2527,0,0.0172,0.0864,0.1377,0.9975,0.9995,1.0012,49.4087,69.7792,86.4034,10.5632,5
2017-01-01,201701,3302403,24.802,25.6303,26.7184,0,5e-04,0.0032,0.0037,0.9976,0.9988,1.0001,79.7766,86.0227,90.5189,1.9164,0
2017-01-01,201701,3302452,21.3656,25.8745,30.7485,0,0.1942,1.0849,1.5536,0.9985,1,1.0012,61.4564,78.7822,93.3115,9.3829,6
2017-01-01,201701,3302502,25.9022,28.7329,32.2541,1e-04,0.219,1.2332,1.7521,0.997,0.9982,0.9993,64.6491,77.4055,88.063,6.3519,6
2017-01-01,201701,3302601,26.6844,27.7972,29.1856,4e-04,0.1719,0.743,1.3748,0.9971,0.9983,0.9994,77.8695,83.6704,89.2228,2.5012,6
2017-01-01,201701,3302700,26.1437,27.1437,28.2482,0,0.0461,0.1937,0.3687,0.9972,0.9983,0.9993,80.9151,85.6192,90.069,2.1045,4
2017-01-01,201701,3302809,23.0574,26.6885,31.5798,0.0019,0.3251,1.8245,2.6008,0.9978,0.9993,1.0004,60.0768,77.651,90.2289,8.5224,6
2017-01-01,201701,3302858,25.6137,28.4883,32.287,0.0023,0.2461,1.5069,1.9686,0.997,0.9984,0.9995,61.9165,75.2682,85.575,6.6732,7
2017-01-01,201701,3302908,22.1457,26.1592,31.5739,0,0.1818,1.252,1.4545,0.9982,0.9997,1.001,57.9253,76.3602,90.2433,9.4282,6
2017-01-01,201701,3303005,23.3474,28.2755,33.9905,0,0.0362,0.2344,0.2893,0.9972,0.9991,1.0008,50.4696,71.1212,88.8228,10.643,5
2017-01-01,201701,3303104,22.6895,27.6916,33.2527,0,0.0172,0.0864,0.1377,0.9975,0.9995,1.0012,49.4087,69.7791,86.4034,10.5632,5
2017-01-01,201701,3303203,25.6137,28.4883,32.287,0.0023,0.2461,1.5069,1.9686,0.997,0.9984,0.9995,61.9165,75.2682,85.575,6.6732,7
2017-01-01,201701,3303302,26.6492,27.7924,29.1475,2e-04,0.0836,0.3544,0.6685,0.997,0.9982,0.9993,77.2196,83.1179,88.4539,2.4984,4
2017-01-01,201701,3303401,20.8995,24.9621,29.6632,0,0.3421,1.8594,2.737,0.9992,1.0004,1.0015,64.1108,79.928,92.1556,8.7636,7
2017-01-01,201701,3303500,25.6137,28.4883,32.287,0.0023,0.2461,1.5069,1.9686,0.997,0.9984,0.9995,61.9165,75.2682,85.575,6.6732,7
2017-01-01,201701,3303609,23.0574,26.6885,31.5798,0.0019,0.3251,1.8245,2.6008,0.9978,0.9993,1.0004,60.0768,77.651,90.2289,8.5224,6
2017-01-01,201701,3303708,21.5448,25.5787,30.7834,2e-04,0.2378,1.4445,1.9024,0.9986,1.0001,1.0013,60.237,78.1187,91.6024,9.2386,6
2017-01-01,201701,3303807,24.067,25.831,28.2896,1e-04,0.7647,3.4288,6.1176,0.9985,0.9996,1.0006,72.8238,83.0481,91.532,4.2226,7
2017-01-01,201701,3303856,22.1457,26.1592,31.5739,0,0.1818,1.252,1.4545,0.9982,0.9997,1.001,57.9253,76.3602,90.2433,9.4282,6
2017-01-01,201701,3303906,23.8574,27.7508,32.9942,0,0.1742,0.9296,1.3935,0.9975,0.9989,1.0001,56.8979,74.6651,88.1152,9.1369,7
2017-01-01,201701,3303955,22.0697,26.054,31.1789,2e-04,0.3357,1.6694,2.6856,0.998,0.9996,1.0007,58.2466,77.2258,90.7951,9.1092,6
2017-01-01,201701,3304003,22.0697,26.054,31.1789,2e-04,0.3357,1.6694,2.6856,0.998,0.9996,1.0007,58.2466,77.2258,90.795,9.1092,6
2017-01-01,201701,3304102,22.4947,27.6037,33.3584,0,0.0404,0.1798,0.3234,0.9977,0.9995,1.0011,48.7673,70.1305,87.0893,10.8636,5
2017-01-01,201701,3304110,22.0697,26.054,31.1789,2e-04,0.3357,1.6694,2.6856,0.998,0.9996,1.0007,58.2466,77.2258,90.7951,9.1092,6
2017-01-01,201701,3304128,22.0697,26.054,31.1789,2e-04,0.3357,1.6694,2.6856,0.998,0.9996,1.0007,58.2466,77.2258,90.7951,9.1092,6
2017-01-01,201701,3304144,25.7775,28.996,33.186,0,0.2035,0.9369,1.6277,0.9969,0.9982,0.9993,58.6481,73.2474,85.3687,7.4085,7
2017-01-01,201701,3304151,24.1383,27.9606,32.6902,0,0.0371,0.2376,0.2969,0.9974,0.9989,1.0002,56.4088,74.7014,88.9589,8.5519,5
2017-01-01,201701,3304201,19.4822,23.9043,29.4629,4e-04,0.3148,1.4323,2.5188,0.999,1.0006,1.0018,58.158,78.0529,92.3577,9.9808,7
2017-01-01,201701,3304300,23.4101,27.1216,31.406,1e-04,0.3299,1.9148,2.6395,0.9979,0.9991,1.0001,65.8534,79.7954,90.5909,7.9959,7
2017-01-01,201701,3304409,22.0697,26.054,31.1789,2e-04,0.3357,1.6694,2.6856,0.998,0.9996,1.0007,58.2466,77.2258,90.7951,9.1092,6
2017-01-01,201701,3304508,22.1457,26.1592,31.5739,0,0.1818,1.252,1.4545,0.9982,0.9997,1.001,57.9253,76.3602,90.2433,9.4282,6
2017-01-01,201701,3304524,24.3088,27.4308,31.099,0,0.0834,0.504,0.6673,0.9976,0.9987,0.9998,65.5861,78.4078,89.8056,6.7902,7
2017-01-01,201701,3304557,25.9515,29.0269,33.0498,0,0.2142,0.9884,1.714,0.9969,0.9981,0.9993,60.72,75.0387,87.2177,7.0983,5
2017-01-01,201701,3304607,22.798,27.169,32.1316,0,0.1231,0.7242,0.9848,0.9978,0.9993,1.0006,58.8987,77.2527,91.9599,9.3335,5
2017-01-01,201701,3304706,23.5504,28.0899,33.6444,0,0.0504,0.2995,0.4029,0.9972,0.9991,1.0009,52.4118,72.1513,89.5926,10.094,4
2017-01-01,201701,3304755,24.8285,25.7071,26.8148,0,1e-04,6e-04,8e-04,0.9982,0.9994,1.0009,77.046,83.6687,88.3984,1.9864,0
2017-01-01,201701,3304805,23.051,27.8361,33.7247,0,0.0901,0.6219,0.7208,0.9976,0.9992,1.0006,51.6858,73.6533,90.4226,10.6737,5
2017-01-01,201701,3304904,25.9515,29.0269,33.0498,0,0.2142,0.9884,1.714,0.9969,0.9981,0.9993,60.72,75.0387,87.2177,7.0983,5
2017-01-01,201701,3305000,24.9193,25.7775,26.7856,0,2e-04,0.001,0.0015,0.9983,0.9994,1.0009,77.9323,84.0314,88.7118,1.8663,0
2017-01-01,201701,3305109,25.7775,28.996,33.186,0,0.2035,0.9369,1.6277,0.9969,0.9982,0.9993,58.6481,73.2474,85.3687,7.4085,7
2017-01-01,201701,3305133,23.3474,28.2755,33.9905,0,0.0362,0.2344,0.2893,0.9972,0.9991,1.0008,50.4696,71.1212,88.8227,10.643,5
2017-01-01,201701,3305158,20.3899,24.7741,29.7977,0,0.1841,0.9644,1.4726,0.9989,1.0005,1.002,59.7246,77.0058,91.5412,9.4078,5
2017-01-01,201701,3305208,25.1454,26.5953,28.2339,0,0.0114,0.0793,0.091,0.9973,0.9984,0.9995,76.5465,83.8801,90.3647,3.0885,5
2017-01-01,201701,3305307,22.0452,26.7836,32.0999,0,0.1124,0.7308,0.8995,0.9979,0.9997,1.0011,56.4728,76.0501,92.5529,10.0547,4
2017-01-01,201701,3305406,21.3555,25.9795,31.4559,0,0.1241,0.7536,0.9929,0.998,1,1.0017,56.206,75.1546,91.6008,10.1004,5
2017-01-01,201701,3305505,25.6007,26.3367,27.1082,0,0.019,0.081,0.152,0.9973,0.9984,0.9994,82.4499,87.3594,90.9916,1.5075,3
2017-01-01,201701,3305554,24.9626,27.495,30.7921,0.004,0.3084,1.4626,2.467,0.9974,0.9988,0.9999,67.559,79.5334,88.633,5.8295,6
2017-01-01,201701,3305604,23.6666,27.157,31.1579,0,0.192,1.0631,1.5362,0.9979,0.999,1,66.3371,79.5924,90.8851,7.4913,7
2017-01-01,201701,3305703,20.3899,24.7741,29.7977,0,0.1841,0.9644,1.4726,0.9989,1.0005,1.002,59.7246,77.0058,91.5413,9.4078,5
