date,year,epiweek,casos,geocode,regional,regional_geocode,macroregional,macroregional_geocode,uf,train_1,train_2,target_1,target_2
2010-01-03,2010,201001,27,3302403,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,102,3301306,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300803,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305802,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,3305109,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,5,3304300,Metropolitana II,33006,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3304409,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3304607,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305158,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305208,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305505,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305604,Metropolitana II,33006,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,3306008,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,3300308,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,29,3301009,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302106,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302908,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,8,3303500,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,3304003,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,3304201,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3304706,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,6,3304904,Metropolitana II,33006,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305307,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,3300456,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300605,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,2,3303401,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305000,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3305406,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302254,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302809,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,6,3305752,Metropolitana II,33006,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,133,3304102,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3303955,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3303609,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,5,3303302,Metropolitana II,33006,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3304755,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302304,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,6,3302205,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3301801,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,9,3302007,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3301108,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,3301207,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300936,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3304805,Norte,33008,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,5,3306305,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3303203,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302452,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300704,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,4,3303104,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3301603,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3303708,Centro Sul,33003,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300506,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302056,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3302502,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300159,Noroeste,33007,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,3,3300407,Médio Paraíba,33004,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,3,3303807,Litoral Sul,33001,Macrorregião I,3312,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,4,3301702,Metropolitana I,33005,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,1,3304524,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,0,3300209,Baixada Litorânea,33002,Macrorregião III,3310,RJ,TRUE,TRUE,FALSE,FALSE
2010-01-03,2010,201001,6,3303906,Serrana,33009,Macrorregião II,3311,RJ,TRUE,TRUE,FALSE,FALSE
