"stage","variable","n","mean","sd","min","p25","median","p75","max"
"before_population_offset","casos",37352,12.1807935318055,172.68293473668,0,0,0,2,14976
"before_population_offset","indexP",37352,1.01866763235666,0.253593400560293,0.449494592217654,0.815037275567611,0.994349106808143,1.21066033914063,1.7127825254998
"before_population_offset","precip_tot",37352,1.406563201435,1.61520165114507,0,0.2211,0.8099,2.058,16.8083
"before_population_offset","rel_humid_med",37352,79.6551536115871,5.07641173009381,58.1327,76.703,80.344,83.264925,92.8415
"before_population_offset","temp_max",37352,26.6432033492182,2.81896788511422,17.7322,24.588575,26.5138,28.616225,38.5733
"before_population_offset","temp_med",37352,22.6017861908332,2.65282205691736,13.6103,20.7899,22.77115,24.5923,30.2507
"before_population_offset","temp_min",37352,19.497998551617,3.169425513079,7.3419,17.393975,19.9054,21.797425,26.841
"after_population_offset","casos",37352,12.1807935318055,172.68293473668,0,0,0,2,14976
"after_population_offset","indexP",37352,1.01866763235666,0.253593400560293,0.449494592217654,0.815037275567611,0.994349106808143,1.21066033914063,1.7127825254998
"after_population_offset","precip_tot",37352,1.406563201435,1.61520165114507,0,0.2211,0.8099,2.058,16.8083
"after_population_offset","rel_humid_med",37352,79.6551536115871,5.07641173009381,58.1327,76.703,80.344,83.264925,92.8415
"after_population_offset","temp_max",37352,26.6432033492182,2.81896788511422,17.7322,24.588575,26.5138,28.616225,38.5733
"after_population_offset","temp_med",37352,22.6017861908332,2.65282205691736,13.6103,20.7899,22.77115,24.5923,30.2507
"after_population_offset","temp_min",37352,19.497998551617,3.169425513079,7.3419,17.393975,19.9054,21.797425,26.841
"after_population_offset","Pop_i",37352,183605.898506104,694217.336676514,5415,18529,37083,138460.5,6775561
"after_population_offset","offset",37352,-0.675483120645625,1.34652333653831,-2.91599730553514,-1.68583311368781,-0.992011542414296,0.325378160554548,4.21590726075976
