"geocode","cidade","total_cases","mean_population_2017_2024"
"4300034","acegua",3,4662.41379310345
"4300109","agudo",44,16413.6699507389
"4300208","ajuricaba",420,6970.04679802956
"4300307","alecrim",835,6087.52709359606
"4300406","alegrete",355,73778.6773399015
"4300455","alegria",400,3582.86206896552
"4300505","alpestre",179,6652.6354679803
"4300604","alvorada",3012,203289.886699507
"4300851","arambare",1,3774.41133004926
"4300877","ararica",230,6594.81034482759
"4300901","aratiba",820,6360.28571428571
"4301404","arvorezinha",30,10429.3596059113
"4301552","aurea",47,3524.48522167488
"4301602","bage",42,120528.209359606
"4301651","barao",4,6264.95073891626
"4301800","barracao",7,5160.09113300493
"4302501","bossoroca",59,6212.65270935961
"4302584","bozano",46,2145.58128078818
"4302600","braga",213,3358.64039408867
"4302659","brochier",2,5042.50492610837
"4302709","butia",159,20410.3571428571
"4302907","cacequi",14,12221.4187192118
"4303103","cachoeirinha",4609,132311.472906404
"4303301","caibate",79,4824.8842364532
"4303400","caicara",461,4811.20197044335
"4303509","camaqua",33,65105.8694581281
"4303558","camargo",55,2818.77586206897
"4304200","candelaria",215,30672.4802955665
"4304358","candiota",6,9951.66256157636
"4304408","canela",67,46212.7733990148
"4304507","cangucu",8,54129.3078817734
"4304606","canoas",6676,347625.386699507
"4304697","capitao",21,2816.58620689655
"4304705","carazinho",1939,62183.2192118227
"4304713","caraa",3,7977.60837438424
"4304903","casca",43,9193.87192118227
"4304952","caseiros",3,3142.10098522167
"4305009","catuipe",665,8809.52463054187
"4305116","centenario",2,2854.39408866995
"4305124","cerrito",7,6043.21921182266
"4305306","chapada",350,9404.56403940887
"4305355","charqueadas",54,38859.4901477833
"4305371","charrua",1,3138.58374384236
"4305405","chiapetta",370,3838.17487684729
"4305439","chui",2,6552.94827586207
"4305447","chuvisca",3,5169.04433497537
"4305454","cidreira",15,16413.2857142857
"4305504","ciriaco",19,4584.33497536946
"4305587","colinas",209,2452.90886699507
"4305603","colorado",23,3235.02463054187
"4305702","condor",1068,6662.1724137931
"4305801","constantina",1310,10101.8965517241
"4305959","cotipora",5,3871.44088669951
"4305975","coxilha",21,2743.48522167488
"4306007","crissiumal",2641,13360.5714285714
"4306056","cristal",8,7780.54433497537
"4306130","cruzaltense",14,1793.05172413793
"4306320","derrubadas",533,2819.7881773399
"4306809","encantado",1945,22781.6428571429
"4306932","entre-ijuis",321,8758.95073891626
"4306973","erebango",22,3022.70935960591
"4307005","erechim",4878,105882.403940887
"4307054","ernestina",2,3135.53201970443
"4307104","herval",3,6645.5960591133
"4307401","esmeralda",3,3263.37684729064
"4307500","espumoso",131,15507.4950738916
"4307559","estacao",30,5866.74384236453
"4307708","esteio",3003,81213.1034482759
"4307807","estrela",2603,33493.0295566502
"4307906","farroupilha",108,71599.3448275862
"4308052","faxinalzinho",35,2404.15517241379
"4308102","feliz",108,13614.4532019704
"4308409","formigueiro",10,6631.32512315271
"4308433","forquetinha",13,2420.16009852217
"4308607","garibaldi",63,34795.4384236453
"4308656","garruchos",27,2876.48768472906
"4308706","gaurama",89,5617.97536945813
"4308854","gentil",0,1679.0960591133
"4309001","girua",1067,16131.9137931034
"4309050","glorinha",21,7933.20689655172
"4309100","gramado",592,37479.5467980296
"4309209","gravatai",4135,276473.376847291
"4309258","guabiju",1,1486.81034482759
"4309308","guaiba",184,96825.3891625616
"4309407","guapore",330,25566.7266009852
"4309555","harmonia",21,5023.26600985222
"4309571","herveiras",0,2882.58620689655
"4309605","horizontina",2965,19214.1699507389
"4309704","humaita",582,4765.50246305419
"4309753","ibarama",4,4207.18226600985
"4309803","ibiaca",13,4671.97783251232
"4309902","ibiraiaras",20,7147.72413793103
"4309951","ibirapuita",4,3940.27093596059
"4310009","ibiruba",1037,20788.9236453202
"4310108","igrejinha",6919,35605.1995073892
"4310207","ijui",8605,84110.0615763547
"4310306","ilopolis",18,4122.05172413793
"4310330","imbe",729,23964.0320197044
"4310363","imigrante",14,3110.42610837438
"4310405","independencia",710,6301.89655172414
"4310413","inhacora",249,2169.03201970443
"4310439","ipe",1,6238.69704433498
"4310504","irai",1280,7393.64532019704
"4310538","itaara",56,5523.52709359606
"4310553","itacurubi",8,3327.83497536946
"4310579","itapuca",3,2065.62807881773
"4310603","itaqui",165,37242.539408867
"4310652","itati",1,2509.14285714286
"4310751","ivora",2,1937.2881773399
"4310801","ivoti",2407,23760.7857142857
"4310850","jaboticaba",694,3831.82019704434
"4310876","jacuizinho",0,2484.92857142857
"4310900","jacutinga",99,3508.80541871921
"4311007","jaguarao",17,26855.842364532
"4311106","jaguari",393,10843.1625615764
"4311122","jaquirana",0,3748
"4311130","jari",1,3472.3275862069
