"stage","variable","n","mean","sd","min","p25","median","p75","max"
"before_population_offset","casos",81606,1.42569173835257,15.8012233104125,0,0,0,0,918
"before_population_offset","indexP",81606,0.687769079887489,0.264230842187867,0.0450977051694711,0.48883287234858,0.672518475953574,0.865714872487317,1.83938809690866
"before_population_offset","precip_tot",81606,1.49187153027964,1.60242671739035,0,0.3448,1.04585,2.0777,16.6532
"before_population_offset","rel_humid_med",81606,76.8783989400289,7.97697295813046,42.2028,72.6411,77.8544,82.3915,95.7856
"before_population_offset","temp_max",81606,24.3992097639879,4.61823425054583,11.6392,21.02755,24.7049,27.8689,39.6088
"before_population_offset","temp_med",81606,19.5345484229101,4.25754519817859,7.0112,16.2924,19.98555,22.88585,32.6413
"before_population_offset","temp_min",81606,15.6037458777541,4.08374726113481,2.6669,12.634,16.06775,18.7385,27.0425
"after_population_offset","casos",81606,1.42569173835257,15.8012233104125,0,0,0,0,918
"after_population_offset","indexP",81606,0.687769079887489,0.264230842187867,0.0450977051694711,0.48883287234858,0.672518475953574,0.865714872487317,1.83938809690866
"after_population_offset","precip_tot",81606,1.49187153027964,1.60242671739035,0,0.3448,1.04585,2.0777,16.6532
"after_population_offset","rel_humid_med",81606,76.8783989400289,7.97697295813046,42.2028,72.6411,77.8544,82.3915,95.7856
"after_population_offset","temp_max",81606,24.3992097639879,4.61823425054583,11.6392,21.02755,24.7049,27.8689,39.6088
"after_population_offset","temp_med",81606,19.5345484229101,4.25754519817859,7.0112,16.2924,19.98555,22.88585,32.6413
"after_population_offset","temp_min",81606,15.6037458777541,4.08374726113481,2.6669,12.634,16.06775,18.7385,27.0425
"after_population_offset","Pop_i",81606,23935.7299708355,48587.4726447775,1417,3647,6618,22771,359554
"after_population_offset","offset",81606,-2.35886656283248,1.22673497181714,-4.25662822527955,-3.31126527416155,-2.71537697648867,-1.47968238944156,1.27969418851591
